"Kod";"Nazwa";"Wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
3000000;"WIELKOPOLSKIE";"ogółem";"2017";336,64;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2018";363,97;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2019";451,25;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2020";467,31;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2021";501,78;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2022";576,52;"zł";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2023";670,79;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2002";118;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2003";124;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2004";139;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2005";194;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2006";222,06;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2007";267,11;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2008";316,74;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2009";644,56;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2010";455,94;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2011";494,76;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2012";477,70;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2013";482,42;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2014";506,80;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2015";430,95;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2016";337,50;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2017";472,26;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2018";559,05;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2019";463,44;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2020";578,59;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2021";669,50;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2022";801,88;"zł";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2023";849,39;"zł";"";
